country_name;country_code;continent;PLEES_00_1950;P_00_1950;LE_00_1950;E_00_1950;S_00_1950;PLEES_00_2010;P_00_2010;LE_00_2010;E_00_2010;S_00_2010;PLEES_45_2080;P_45_2080;LE_45_2080;E_45_2080;S_45_2080;PLEES_85_2080;P_85_2080;LE_85_2080;E_85_2080;S_85_2080
Albania;ALB;Europe;NaN;NaN;NaN;NaN;NaN;3.177456481711201;NaN;NaN;NaN;NaN;2.9245671300918454;0.48153333333333326;0.9865055578679359;0.8327782558860629;0.6237499830045137;2.672903996599819;0.449431111111111;0.977638921703388;0.8138329212262851;0.4320010425590346
Angola;AGO;Africa;NaN;NaN;NaN;NaN;NaN;2.753264113455793;NaN;NaN;NaN;NaN;2.477390875315572;0.10204225352112675;0.9680314356175104;0.8165639944732493;0.5907531917036853;2.185083561732039;0.09596026490066224;0.958794432157252;0.6508222905804456;0.4795065740936794
Argentina;ARG;America;NaN;NaN;NaN;NaN;NaN;3.577036663175719;NaN;NaN;NaN;NaN;3.433718493803342;0.8180714285714286;0.9935597086788874;0.8729676521058418;0.7491197044471843;3.136036477457991;0.7898620689655172;0.9900759642887422;0.8105228409938458;0.545575603209886
Armenia;ARM;Asia;NaN;NaN;NaN;NaN;NaN;2.8356802431025057;NaN;NaN;NaN;NaN;2.7887510542138485;0.4959612903225807;0.8697613342686324;0.8246794220318289;0.5983490075908063;2.5090315989474696;0.4659030303030303;0.7653914321900004;0.8225546232641134;0.4551825131903254
Australia;AUS;Oceania;NaN;NaN;NaN;NaN;NaN;3.8424796199980884;NaN;NaN;NaN;NaN;3.707355219918849;0.9835428571428572;0.9895647839478868;0.93345296821158;0.8007946106165251;3.544826940851574;0.993;0.9848368386740388;0.9190601027185116;0.6479299994590235
Austria;AUT;Europe;NaN;NaN;NaN;NaN;NaN;3.809351308990589;NaN;NaN;NaN;NaN;3.7051182662533066;0.9329150326797385;0.9803178561876578;0.9426597692787064;0.8492256081072039;3.394384163435468;0.8810864197530863;0.9672686366430014;0.9378738689769172;0.6081552380624631
Bangladesh;BGD;Asia;NaN;NaN;NaN;NaN;NaN;2.5004727603205072;NaN;NaN;NaN;NaN;2.4141033147038726;0.12460465116279061;0.9879931347013596;0.7161707500498058;0.5853347787899165;2.1150323763141126;0.12910843373493966;0.9797842357875836;0.5186921256338758;0.4874475811577136
Belarus;BLR;Europe;NaN;NaN;NaN;NaN;NaN;3.5113669613138616;NaN;NaN;NaN;NaN;3.3212768952529923;0.9362842105263157;0.6184260673521849;0.9931546669493694;0.7734119504251225;2.669019806439753;0.7734521739130434;0.3091423166586296;0.9895871838393144;0.5968381320287652
Belgium;BEL;Europe;NaN;NaN;NaN;NaN;NaN;3.807594475686078;NaN;NaN;NaN;NaN;3.698867526317865;0.9967777777777778;0.9838905178824447;0.9170890260071998;0.8011102046504427;3.1957147665540138;0.7800869565217392;0.9710615851785818;0.9143339316549012;0.5302322931987917
Benin;BEN;Africa;NaN;NaN;NaN;NaN;NaN;2.4156167227822496;NaN;NaN;NaN;NaN;2.3242515004294404;0.09030748663101607;0.9547397264830366;0.7707466363868407;0.5084576509285472;2.1325284542839578;0.09330110497237572;0.952786434250487;0.5441549399422263;0.5422859751188687
Bhutan;BTN;Asia;NaN;NaN;NaN;NaN;NaN;2.9851960445175;NaN;NaN;NaN;NaN;3.207692094182033;0.4338285714285715;0.966712698426882;0.9531307357151584;0.8540200886114212;2.9826313221305747;0.4465882352941177;0.9511888947876996;0.9206901846944991;0.6641640073542581
Bolivia;BOL;America;NaN;NaN;NaN;NaN;NaN;3.4030865919402045;NaN;NaN;NaN;NaN;3.262051538907046;0.6365957446808511;0.9815569034148368;0.93099411620645;0.7129047746049083;2.955121360935114;0.544;0.9734455731664908;0.8785908410158535;0.5590849467527693
Bosnia and Herzegovina;BIH;Europe;NaN;NaN;NaN;NaN;NaN;3.3373839547148867;NaN;NaN;NaN;NaN;3.1782574379994637;0.8194814814814815;0.9763714617320034;0.7243341829097047;0.6580703118762743;2.851936646341226;0.7375333333333334;0.9602424578967372;0.7159053793114509;0.4382554757997045
Botswana;BWA;Africa;NaN;NaN;NaN;NaN;NaN;3.0345799585854967;NaN;NaN;NaN;NaN;2.7249058935288346;0.27465693430656934;0.9345914691014756;0.8022731647519584;0.7133843253688316;2.4375500511632415;0.23815189873417722;0.9093153611191952;0.753520758543024;0.5365620327668454
Brazil;BRA;America;NaN;NaN;NaN;NaN;NaN;3.4755731969996932;NaN;NaN;NaN;NaN;3.2327493666518965;0.7189873417721518;0.9959640632429684;0.8489115340208285;0.6688864276159476;2.955964864663633;0.6173913043478261;0.9943826893049236;0.7626133015155855;0.5815775694952979
Burkina Faso;BFA;Africa;NaN;NaN;NaN;NaN;NaN;2.2708581418912384;NaN;NaN;NaN;NaN;2.2457012111445662;0.07368421052631585;0.954427356938416;0.6989754835918605;0.5186141600879737;1.9713573842566903;0.07700000000000007;0.9505414187207948;0.43969822580107787;0.5041177397348179
Burundi;BDI;Africa;NaN;NaN;NaN;NaN;NaN;2.66712851925666;NaN;NaN;NaN;NaN;2.5440030756322596;0.03070476190476182;0.9352638794979484;0.9814881042152388;0.5965463300143108;2.351544213319111;0.030999999999999917;0.9173454528943978;0.9722152839165968;0.43098347650811625
Cameroon;CMR;Africa;NaN;NaN;NaN;NaN;NaN;2.831172544732872;NaN;NaN;NaN;NaN;2.7163057687496504;0.2740157480314961;0.9521248201941688;0.8609399411321836;0.6292252593918017;2.4745451233257585;0.27840000000000004;0.9471313483445186;0.736291176076728;0.5127225989045117
