,country_name,country_code,continent,P_00_1975,P_00_2010,P_45_2080,P_85_2080,LE_00_1975,LE_00_2010,LE_45_2080,LE_85_2080,E_00_1975,E_00_2010,E_45_2080,E_85_2080,S_00_1975,S_00_2010,S_45_2080,S_85_2080,PLEES_00_1975,PLEES_00_2010,PLEES_45_2080,PLEES_85_2080
0,Fiji,FJI,Oceania,0.5749914371807682,0.5749914371807682,0.4223790969788989,0.4223790969788989,0.9995925156139762,0.9979396664671328,0.9913747228293788,0.9877660216619134,0.9508900022506708,0.955551819896742,0.9554204558586848,0.9551633863913082,0.7401905949090097,0.705500989853367,0.6401342430662361,0.5034255685890969,3.265664549954425,3.23398391339801,3.009308518733199,2.8687340736212175
1,Tanzania,TZA,Africa,0.3052677648846557,0.297048586802464,0.1942771026243635,0.1869711665513041,0.9979609135572958,0.9902671088942512,0.9541456573475002,0.9376274275694017,0.964000000920498,0.9745405279454988,0.9729214310266904,0.9691354300975696,,0.6884423211528178,0.615405000343807,0.45968316458522,,2.950298544795032,2.736749191342361,2.5534171888034956
2,Canada,CAN,America,0.690978842748866,0.6918920847579985,0.5147865493461564,0.5156997913552888,0.9980190391934158,0.9941565334443538,0.981077075431989,0.967958272517994,0.8967989478707744,0.9300600449727768,0.930025732370988,0.9299173567805612,,0.7893115748966134,0.910899846739824,0.8034822958572095,,3.4054202380717427,3.3367892038889573,3.2170577165110537
3,United States,USA,America,0.7439969331996247,0.7430836911904922,0.5594983910495978,0.5594983910495978,0.9981081048878336,0.994358472789692,0.9808872849820162,0.9692729222261776,0.9319999349145616,0.9428028660375012,0.942606610280864,0.9421951926038628,0.8118551869186427,0.9018936099346632,0.8321968060903974,0.6759591140651525,3.485960159920663,3.5821386399523485,3.3151890924028753,3.146925619944791
4,Papua New Guinea,PNG,Oceania,,,,,0.9990693485452092,0.9929725307970834,0.9735613429459676,0.9661418695858488,0.9744099998472706,0.9735878585682646,0.9717882428187709,0.9683382006595526,0.7361552950396323,0.6762759477374543,0.6668765296498259,0.5377489471571134,,,,
5,Indonesia,IDN,Asia,0.5117999469321579,0.5108867049230256,0.366052719860199,0.3633129938328017,0.9998728626458891,0.9989658198191792,0.995572671681184,0.994451192079687,0.9738000011407104,0.9579734395361378,0.957174156389656,0.955728919953238,0.6245467312196789,0.6793019643879942,0.7026114738788355,0.619548645796562,3.1100195419384367,3.1471279286663365,3.0214110218098744,2.9330417516622886
6,Argentina,ARG,America,0.6709552760667276,0.6709552760667276,0.4989247204107625,0.4970982363924976,0.9994041266556764,0.9984810868666472,0.995726851580602,0.993414582680245,0.9455999992572188,0.9149275303061596,0.9145437451584228,0.9137975752562592,0.7718589953600526,0.7930941496326268,0.7491197044471843,0.545575603209886,3.387818397339675,3.377458042872161,3.158315021596972,2.9498859975388876
7,Chile,CHL,America,0.7184300329746859,0.7175167909655534,0.5378604864111004,0.5360340023928356,0.99888376217952,0.9962000254932804,0.9842643640837748,0.9754225610799396,0.9476999996858706,0.9253651887202068,0.9253531025234956,0.925317798520649,0.6301988759623535,0.7584550362850613,0.7720367294889012,0.5469333710470428,3.29521267080243,3.3975370414641017,3.2195146825072722,2.9837077330404673
8,Kenya,KEN,Africa,0.3070624153426782,0.3079756573518106,0.2091635709043401,0.2173827489865318,0.998178761742065,0.987631354662988,0.9558685833201536,0.9469992382119884,0.9672399997315426,0.9618317326939844,0.961548504694168,0.960873713523294,0.6709740796294977,0.6132075465299748,0.5798872166178204,0.4599667396868027,2.943455256445784,2.870646291238758,2.706467875536482,2.5852224404086166
9,Sudan,SDN,Africa,0.1825792216211269,0.204497029840305,0.0610966736125201,0.0729688197312416,0.9990504311234026,0.9959980606717522,0.9863521560213668,0.9819154302293086,0.8427799983880928,0.8182298222874175,0.8121363867525216,0.8004539717643577,0.5497623883073459,0.4702680551221871,0.5624085757187902,0.5573091186092196,2.5741720394399685,2.488992967921662,2.421993792105199,2.4126473403341278
10,Chad,TCD,Africa,0.1567303646252131,0.1704289947621995,0.0402984910592865,0.0503441531597432,0.9969529981349268,0.986213348715556,0.9446076263090796,0.9312272975400446,0.9933799999653308,0.9874575628671844,0.9862412693074178,0.9840493965914768,0.4254498868099803,0.3927053356613503,0.5242064018681302,0.5073648348093612,2.572513249535451,2.5368052420062903,2.4953537885439143,2.4729856821006257
11,Haiti,HTI,America,0.3836520947972857,0.3873050628338153,0.2550037306377164,0.2486110365737895,0.99634933692438,0.9868601222185652,0.8841402815812458,0.8357364896386258,0.9243800019113853,0.8584609830847715,0.8578217821424813,0.8565294466888667,0.6626493593932568,0.5031567929448894,0.609881484524981,0.5254218456669112,2.967030793026307,2.7357829610820414,2.6068472788864248,2.4662988185681933
12,Dominican Republic,DOM,America,0.6372719957113596,0.6390984797296245,0.4713021058514135,0.4667358958057514,0.9997325783240129,0.997882236431728,0.987415029109971,0.9818758940509014,0.9356899973497408,0.93229187582134,0.9317734836314048,0.9307712555148276,0.7161943010492817,0.7716646523508688,0.6819541084972235,0.5113903923860006,3.288888872434395,3.340937244333561,3.0724447270900126,2.890773437757481
13,Russian Federation,RUS,Europe,0.6595181809759302,0.6622579070033275,0.4898111499020756,0.4916376339203405,0.957553031837884,0.9097785066987272,0.6549651728373206,0.4253334308702889,0.9458594904711978,0.947931390378452,0.9479062781705736,0.9478323867228592,,0.438605973033523,0.8048227816712759,0.7696412708569796,,2.9585737771140295,2.8975053825812456,2.634444722370468
14,Norway,NOR,Europe,0.7061867483144045,0.707099990323537,0.5288560863329191,0.5297693283420516,0.9982857108558788,0.9888775875126724,0.960727426288146,0.9400494070314892,0.9729039884247306,0.9802637576871548,0.9802015212817408,0.9799613013904072,0.8241476109227117,0.91843154372832,0.9049468124398268,0.6920524260629174,3.5015240585177256,3.5946728792516844,3.3747318463426326,3.1418324628268652
15,South Africa,ZAF,Africa,0.4989503473468658,0.497123863328601,0.3387034216139974,0.3240915494678787,0.9952548962549704,0.9896910187889012,0.9608116526974384,0.940322774006262,0.7880599974588154,0.7598084922828758,0.7598051246467957,0.7597970217168507,0.7682640538100656,0.7944145219692973,0.7030565477523408,0.4785086278809096,3.0505292948707172,3.041037896369675,2.7623767467105727,2.502719973071901
16,Lesotho,LSO,Africa,0.4102752207764495,0.4084487367581846,0.2673639225673069,0.254578534439453,0.9936502621546438,0.9898388792866092,0.9287102907998545,0.8964114217411371,0.8302300071171609,0.828152336905605,0.828149062224369,0.8281344708977015,0.520367628809997,0.5741763575348531,0.6528334358579545,0.4877573042267399,2.754523118858251,2.8006163104852515,2.6770567114494845,2.4668817313050315
17,Mexico,MEX,America,0.5728214309263504,0.5627757688258938,0.4019717608338571,0.3928393407425329,0.9994848556531992,0.997520579486448,0.9908133931141236,0.9862332848247888,0.968499996516436,0.9582850555566168,0.9579625318725036,0.9573806072572624,0.7753254904552306,0.8132024543550098,0.7327649575424373,0.5573995553016378,3.3161317735512164,3.331783858223968,3.0835126433629214,2.893852788126222
18,Uruguay,URY,America,0.6981063203149471,0.6990195623240796,0.5212732939060812,0.5203600518969489,0.9988557821804748,0.9976232780290246,0.9938461939505672,0.9909206184697268,0.9105000018453284,0.9206015249840436,0.920512835226586,0.9203132186093976,0.7852552971808459,0.8225907039950179,0.7442921194125364,0.5330687202886814,3.392717401521596,3.4398350693321653,3.179924442495771,2.9646626092647548
19,Brazil,BRA,America,0.6118117481398954,0.5999396020211739,0.4250397863631801,0.4067749461805318,0.9998827759820124,0.9993443027982608,0.9960752530592912,0.9945394112655536,0.936339996912706,0.8936122968487901,0.8931005322361235,0.892092348580215,0.7609808324632187,0.783506269553274,0.6688864276159476,0.581577569495298,3.3090153534978324,3.2764024712214987,2.9831019992745427,2.874984275521599
20,Bolivia,BOL,America,0.5889168336045484,0.5843506235588863,0.4193179418178153,0.4083590377082262,0.9993065621059642,0.9962006386385142,0.984584039992815,0.9777972657584996,0.9701999994355868,0.9628314718418453,0.9625002287465712,0.9618790141630172,0.6872026863376496,0.699445275201078,0.7129047746049083,0.5590849467527693,3.2456260814837488,3.2428280092403234,3.0793069851621095,2.9071202643825123
21,Peru,PER,America,0.6279787983321469,0.626152314313882,0.4623654745633055,0.4596257485359082,0.9985181959391312,0.9868264061464018,0.9410045714559458,0.9201039345346688,0.9534799997478152,0.9600700643221663,0.9599485144620238,0.9596841948730406,0.7640725732214724,0.7984755608955284,0.7442860325476439,0.568442671882201,3.3440495672405657,3.3715243456779787,3.107604593028919,2.907856549825819
22,Colombia,COL,America,0.59567765063596,0.5965908926450925,0.4381762081921712,0.4326967561373767,0.9998919516026376,0.9993078817929344,0.9956737108626867,0.9940045115020836,0.8987999992057286,0.8984089091019016,0.8978665318765076,0.8969074084710154,0.7441899451082106,0.7898621419626328,0.7010518828113124,0.5582402311007854,3.238559546552537,3.2841698255025618,3.032768333742678,2.881848907211261
